# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
441	57	66285
442	69	66205
443	98	66240
444	142	66233
445	185	66202
446	219	66175
447	301	66249
448	367	66286
449	473	66247
450	644	66239
451	822	66148
452	989	66165
453	1207	66123
454	1416	66146
455	1673	66094
456	1947	66146
457	2198	66109
458	2476	66136
459	2807	66078
460	3109	65981
461	3505	66028
462	3881	66052
463	4240	66088
464	4631	66056
465	4906	66131
466	5326	66186
467	5645	66275
468	5867	66380
469	6165	66381
470	6488	66381
471	6617	66391
472	6870	66349
473	7004	66276
474	7174	66303
475	7355	66317
476	7458	66384
477	7579	66349
478	7654	66446
479	7675	66442
480	7762	66469
481	7813	66510
482	7808	66570
483	7861	66592
484	7856	66583
485	7719	66491
486	7652	66409
487	7470	66359
488	7397	66299
489	7289	66422
490	7059	66442
491	6846	66541
492	6555	66526
493	6248	66511
494	5953	66426
495	5779	66524
496	5530	66469
497	5258	66422
498	4980	66383
499	4748	66321
500	4565	66324
501	4324	66322
502	4144	66447
503	3933	66379
504	3697	66442
505	3480	66526
506	3265	66458
507	2975	66469
508	2725	66559
509	2480	66488
510	2181	66440
511	1966	66489
512	1700	66526
513	1493	66509
514	1311	66504
515	1115	66485
516	928	66586
517	767	66594
518	624	66607
519	521	66598
520	410	66569
521	322	66584
522	238	66611
523	177	66534
524	142	66583
525	114	66512
526	83	66507
527	67	66469
528	46	66495
529	29	66534
530	19	66503
531	13	66453
532	11	66424
533	8	66396
534	5	66361
535	4	66450
536	3	66381
537	1	66339
538	1	66318
539	1	66308
540	0	66279
541	0	66218
542	0	66244
